id_tempo,data,ano_adicao,mes_adicao,nome_mes
174,2016-08-01,2016,8,August
175,2016-08-02,2016,8,August
176,2016-08-05,2016,8,August
177,2016-08-11,2016,8,August
178,2016-08-13,2016,8,August
179,2016-08-15,2016,8,August
180,2016-08-19,2016,8,August
181,2016-08-25,2016,8,August
182,2016-08-26,2016,8,August
183,2016-09-01,2016,9,September
184,2016-09-02,2016,9,September
185,2016-09-06,2016,9,September
186,2016-09-07,2016,9,September
187,2016-09-09,2016,9,September
188,2016-09-13,2016,9,September
189,2016-09-15,2016,9,September
190,2016-09-16,2016,9,September
191,2016-09-17,2016,9,September
192,2016-09-19,2016,9,September
193,2016-09-20,2016,9,September
194,2016-09-22,2016,9,September
195,2016-09-23,2016,9,September
196,2016-09-30,2016,9,September
197,2016-10-01,2016,10,October
198,2016-10-04,2016,10,October
199,2016-10-07,2016,10,October
200,2016-10-12,2016,10,October
201,2016-10-13,2016,10,October
202,2016-10-14,2016,10,October
203,2016-10-15,2016,10,October
204,2016-10-16,2016,10,October
205,2016-10-21,2016,10,October
206,2016-10-27,2016,10,October
207,2016-10-28,2016,10,October
208,2016-10-29,2016,10,October
209,2016-11-01,2016,11,November
210,2016-11-02,2016,11,November
211,2016-11-04,2016,11,November
212,2016-11-09,2016,11,November
213,2016-11-10,2016,11,November
214,2016-11-11,2016,11,November
215,2016-11-15,2016,11,November
216,2016-11-17,2016,11,November
217,2016-11-18,2016,11,November
218,2016-11-19,2016,11,November
219,2016-11-21,2016,11,November
220,2016-11-22,2016,11,November
221,2016-11-25,2016,11,November
222,2016-11-30,2016,11,November
223,2016-12-01,2016,12,December
224,2016-12-02,2016,12,December
225,2016-12-03,2016,12,December
226,2016-12-04,2016,12,December
227,2016-12-05,2016,12,December
228,2016-12-06,2016,12,December
229,2016-12-08,2016,12,December
230,2016-12-09,2016,12,December
231,2016-12-10,2016,12,December
232,2016-12-11,2016,12,December
233,2016-12-12,2016,12,December
234,2016-12-13,2016,12,December
235,2016-12-14,2016,12,December
236,2016-12-15,2016,12,December
237,2016-12-16,2016,12,December
238,2016-12-19,2016,12,December
239,2016-12-20,2016,12,December
240,2016-12-21,2016,12,December
241,2016-12-23,2016,12,December
242,2016-12-25,2016,12,December
243,2016-12-26,2016,12,December
244,2016-12-27,2016,12,December
245,2016-12-28,2016,12,December
246,2016-12-30,2016,12,December
247,2016-12-31,2016,12,December
248,2017-01-01,2017,1,January
249,2017-01-03,2017,1,January
250,2017-01-04,2017,1,January
251,2017-01-05,2017,1,January
252,2017-01-06,2017,1,January
253,2017-01-07,2017,1,January
254,2017-01-10,2017,1,January
255,2017-01-12,2017,1,January
256,2017-01-13,2017,1,January
257,2017-01-14,2017,1,January
258,2017-01-15,2017,1,January
259,2017-01-16,2017,1,January
260,2017-01-17,2017,1,January
261,2017-01-18,2017,1,January
262,2017-01-19,2017,1,January
263,2017-01-20,2017,1,January
264,2017-01-23,2017,1,January
265,2017-01-24,2017,1,January
266,2017-01-25,2017,1,January
267,2017-01-26,2017,1,January
268,2017-01-27,2017,1,January
269,2017-01-29,2017,1,January
270,2017-01-31,2017,1,January
271,2017-02-01,2017,2,February
272,2017-02-02,2017,2,February
273,2017-02-03,2017,2,February
274,2017-02-04,2017,2,February
275,2017-02-05,2017,2,February
276,2017-02-07,2017,2,February
277,2017-02-08,2017,2,February
278,2017-02-10,2017,2,February
279,2017-02-11,2017,2,February
280,2017-02-12,2017,2,February
281,2017-02-14,2017,2,February
282,2017-02-15,2017,2,February
283,2017-02-16,2017,2,February
284,2017-02-17,2017,2,February
285,2017-02-19,2017,2,February
286,2017-02-20,2017,2,February
287,2017-02-21,2017,2,February
288,2017-02-22,2017,2,February
289,2017-02-23,2017,2,February
290,2017-02-24,2017,2,February
291,2017-02-25,2017,2,February
292,2017-02-26,2017,2,February
293,2017-02-27,2017,2,February
294,2017-02-28,2017,2,February
295,2017-03-01,2017,3,March
296,2017-03-02,2017,3,March
297,2017-03-03,2017,3,March
298,2017-03-04,2017,3,March
299,2017-03-07,2017,3,March
300,2017-03-08,2017,3,March
301,2017-03-09,2017,3,March
302,2017-03-10,2017,3,March
303,2017-03-14,2017,3,March
304,2017-03-15,2017,3,March
305,2017-03-16,2017,3,March
306,2017-03-17,2017,3,March
307,2017-03-18,2017,3,March
308,2017-03-20,2017,3,March
309,2017-03-21,2017,3,March
310,2017-03-23,2017,3,March
311,2017-03-24,2017,3,March
312,2017-03-28,2017,3,March
313,2017-03-30,2017,3,March
314,2017-03-31,2017,3,March
315,2017-04-01,2017,4,April
316,2017-04-02,2017,4,April
317,2017-04-04,2017,4,April
318,2017-04-06,2017,4,April
319,2017-04-07,2017,4,April
320,2017-04-08,2017,4,April
321,2017-04-10,2017,4,April
322,2017-04-11,2017,4,April
323,2017-04-12,2017,4,April
324,2017-04-14,2017,4,April
325,2017-04-15,2017,4,April
326,2017-04-16,2017,4,April
327,2017-04-18,2017,4,April
328,2017-04-19,2017,4,April
329,2017-04-20,2017,4,April
330,2017-04-21,2017,4,April
331,2017-04-22,2017,4,April
332,2017-04-23,2017,4,April
333,2017-04-25,2017,4,April
334,2017-04-26,2017,4,April
335,2017-04-27,2017,4,April
336,2017-04-28,2017,4,April
337,2017-05-01,2017,5,May
338,2017-05-02,2017,5,May
339,2017-05-04,2017,5,May
340,2017-05-05,2017,5,May
341,2017-05-07,2017,5,May
342,2017-05-08,2017,5,May
343,2017-05-09,2017,5,May
344,2017-05-10,2017,5,May
345,2017-05-12,2017,5,May
346,2017-05-13,2017,5,May
347,2017-05-14,2017,5,May
348,2017-05-15,2017,5,May
349,2017-05-16,2017,5,May
350,2017-05-18,2017,5,May
351,2017-05-19,2017,5,May
352,2017-05-22,2017,5,May
353,2017-05-23,2017,5,May
354,2017-05-25,2017,5,May
355,2017-05-26,2017,5,May
356,2017-05-29,2017,5,May
357,2017-05-30,2017,5,May
358,2017-05-31,2017,5,May
359,2017-06-01,2017,6,June
360,2017-06-02,2017,6,June
361,2017-06-03,2017,6,June
362,2017-06-05,2017,6,June
363,2017-06-08,2017,6,June
364,2017-06-09,2017,6,June
365,2017-06-10,2017,6,June
366,2017-06-13,2017,6,June
367,2017-06-15,2017,6,June
368,2017-06-16,2017,6,June
369,2017-06-17,2017,6,June
370,2017-06-19,2017,6,June
371,2017-06-20,2017,6,June
372,2017-06-21,2017,6,June
373,2017-06-22,2017,6,June
374,2017-06-23,2017,6,June
375,2017-06-24,2017,6,June
376,2017-06-25,2017,6,June
377,2017-06-26,2017,6,June
378,2017-06-27,2017,6,June
379,2017-06-28,2017,6,June
380,2017-06-30,2017,6,June
381,2017-07-01,2017,7,July
382,2017-07-04,2017,7,July
383,2017-07-06,2017,7,July
384,2017-07-07,2017,7,July
385,2017-07-10,2017,7,July
386,2017-07-12,2017,7,July
387,2017-07-13,2017,7,July
388,2017-07-14,2017,7,July
389,2017-07-15,2017,7,July
390,2017-07-17,2017,7,July
391,2017-07-18,2017,7,July
392,2017-07-19,2017,7,July
393,2017-07-20,2017,7,July
394,2017-07-21,2017,7,July
395,2017-07-24,2017,7,July
396,2017-07-25,2017,7,July
397,2017-07-28,2017,7,July
398,2017-07-30,2017,7,July
399,2017-08-01,2017,8,August
400,2017-08-03,2017,8,August
401,2017-08-04,2017,8,August
402,2017-08-05,2017,8,August
403,2017-08-06,2017,8,August
404,2017-08-07,2017,8,August
405,2017-08-08,2017,8,August
406,2017-08-09,2017,8,August
407,2017-08-10,2017,8,August
408,2017-08-11,2017,8,August
409,2017-08-12,2017,8,August
410,2017-08-13,2017,8,August
411,2017-08-14,2017,8,August
412,2017-08-15,2017,8,August
413,2017-08-16,2017,8,August
414,2017-08-17,2017,8,August
415,2017-08-18,2017,8,August
416,2017-08-19,2017,8,August
417,2017-08-20,2017,8,August
418,2017-08-21,2017,8,August
419,2017-08-22,2017,8,August
420,2017-08-23,2017,8,August
421,2017-08-25,2017,8,August
422,2017-08-26,2017,8,August
423,2017-08-27,2017,8,August
424,2017-08-28,2017,8,August
425,2017-08-29,2017,8,August
426,2017-08-31,2017,8,August
427,2017-09-01,2017,9,September
428,2017-09-02,2017,9,September
429,2017-09-04,2017,9,September
430,2017-09-05,2017,9,September
431,2017-09-06,2017,9,September
432,2017-09-07,2017,9,September
433,2017-09-08,2017,9,September
434,2017-09-11,2017,9,September
435,2017-09-12,2017,9,September
436,2017-09-13,2017,9,September
437,2017-09-15,2017,9,September
438,2017-09-17,2017,9,September
439,2017-09-18,2017,9,September
440,2017-09-19,2017,9,September
441,2017-09-22,2017,9,September
442,2017-09-24,2017,9,September
443,2017-09-25,2017,9,September
444,2017-09-26,2017,9,September
445,2017-09-27,2017,9,September
446,2017-09-28,2017,9,September
447,2017-09-29,2017,9,September
448,2017-09-30,2017,9,September
449,2017-10-01,2017,10,October
450,2017-10-02,2017,10,October
451,2017-10-03,2017,10,October
452,2017-10-05,2017,10,October
453,2017-10-06,2017,10,October
454,2017-10-07,2017,10,October
455,2017-10-10,2017,10,October
456,2017-10-12,2017,10,October
457,2017-10-13,2017,10,October
458,2017-10-14,2017,10,October
459,2017-10-15,2017,10,October
460,2017-10-16,2017,10,October
461,2017-10-17,2017,10,October
462,2017-10-18,2017,10,October
463,2017-10-19,2017,10,October
464,2017-10-20,2017,10,October
465,2017-10-21,2017,10,October
466,2017-10-22,2017,10,October
467,2017-10-23,2017,10,October
468,2017-10-24,2017,10,October
469,2017-10-25,2017,10,October
470,2017-10-26,2017,10,October
471,2017-10-27,2017,10,October
472,2017-10-28,2017,10,October
473,2017-10-30,2017,10,October
474,2017-10-31,2017,10,October
475,2017-11-01,2017,11,November
476,2017-11-03,2017,11,November
477,2017-11-04,2017,11,November
478,2017-11-05,2017,11,November
479,2017-11-06,2017,11,November
480,2017-11-07,2017,11,November
481,2017-11-10,2017,11,November
482,2017-11-11,2017,11,November
483,2017-11-12,2017,11,November
484,2017-11-13,2017,11,November
485,2017-11-14,2017,11,November
486,2017-11-15,2017,11,November
487,2017-11-16,2017,11,November
488,2017-11-17,2017,11,November
489,2017-11-18,2017,11,November
490,2017-11-21,2017,11,November
491,2017-11-22,2017,11,November
492,2017-11-23,2017,11,November
493,2017-11-24,2017,11,November
494,2017-11-27,2017,11,November
495,2017-11-30,2017,11,November
496,2017-12-01,2017,12,December
497,2017-12-02,2017,12,December
498,2017-12-05,2017,12,December
499,2017-12-06,2017,12,December
500,2017-12-07,2017,12,December
501,2017-12-08,2017,12,December
502,2017-12-11,2017,12,December
